ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle,
301.5643771,44.4568595,0.0310,0.0286,0.0016,10.424,0.014,76.2,1.423e+00,10.431,0.019,58.3,6.159e-01,1,0,0000,AA,10,56974.95736375,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.114674,196.798697,
301.5643704,44.4568600,0.0345,0.0346,-0.0083,10.411,0.018,59.3,3.874e+00,10.457,0.019,57.1,1.395e+00,1,0,0000,AA,10,58056.69686486,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.119158,205.001286,
301.5643909,44.4568568,0.0329,0.0336,0.0097,10.500,0.016,67.3,8.714e+01,10.584,0.023,47.1,2.276e+01,1,0,0000,AA,0,57885.89909440,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.119554,178.891499,
301.5643570,44.4568660,0.0361,0.0344,-0.0094,10.415,0.020,54.8,1.366e+00,10.454,0.020,53.7,1.296e+00,1,0,0000,AA,10,56792.89365495,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.121046,224.463471,
301.5643816,44.4568562,0.0365,0.0349,0.0067,10.454,0.017,62.4,1.124e+01,10.495,0.023,46.6,5.535e+00,1,0,0000,AA,5,58052.83457642,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.123595,190.058983,
301.5643636,44.4568607,0.0394,0.0317,-0.0145,10.432,0.018,59.6,1.609e+00,10.436,0.019,56.3,8.974e-01,1,0,0000,AA,10,57333.04428112,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.125416,212.746331,
301.5643686,44.4568585,0.0361,0.0296,0.0070,10.411,0.016,67.0,1.365e+00,10.447,0.018,61.2,1.340e+00,1,0,0000,AA,5,58056.23870286,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.126017,205.869483,
301.5643499,44.4568696,0.0399,0.0327,-0.0094,10.497,0.019,58.0,4.296e+00,10.430,0.018,58.7,1.291e+00,1,0,0000,AA,10,57334.09354752,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.126541,234.521542,
301.5643906,44.4568541,0.0403,0.0338,0.0091,10.447,0.020,55.6,1.496e+00,10.471,0.020,54.3,1.188e+00,1,0,0000,AA,10,57334.55272885,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.129237,179.316526,
301.5643561,44.4568627,0.0307,0.0309,-0.0047,10.418,0.017,63.7,2.591e+00,10.451,0.017,63.3,8.930e-01,1,0,0000,AA,10,58053.35819016,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.131340,221.551849,
301.5643454,44.4568717,0.0366,0.0318,-0.0094,10.437,0.017,64.7,7.521e-01,10.450,0.018,58.9,9.779e-01,1,0,0000,AA,10,58053.68557608,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.132200,240.107647,
301.5643609,44.4568595,0.0346,0.0343,0.0114,10.433,0.020,54.0,1.825e+00,10.439,0.017,63.6,1.984e+00,1,0,0000,AA,10,57520.99289280,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.132841,214.255431,
301.5643721,44.4568553,0.0335,0.0301,-0.0063,10.442,0.015,71.0,1.021e+00,10.428,0.019,58.3,1.476e+00,1,0,0000,AA,10,57885.76806372,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.133126,200.213834,
301.5643630,44.4568582,0.0380,0.0324,-0.0056,10.438,0.017,62.3,2.418e+00,10.437,0.019,56.1,1.015e+00,1,0,0000,AA,10,57333.37217683,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.133869,211.217455,
301.5643806,44.4568534,0.0312,0.0299,-0.0060,10.408,0.016,69.3,2.164e+00,10.413,0.017,62.2,8.076e-01,1,0,0000,AA,5,57692.82235407,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.133939,190.388122,
301.5643772,44.4568536,0.0347,0.0318,-0.0097,10.426,0.016,67.0,1.568e+00,10.445,0.021,51.6,8.625e-01,1,0,0000,AA,10,57521.64804675,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.135098,194.090096,
301.5643817,44.4568528,0.0327,0.0339,0.0059,10.423,0.018,59.3,8.030e-01,10.423,0.017,62.6,1.013e+00,1,0,0000,AA,10,57158.02962431,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.135621,189.048760,
301.5643754,44.4568536,0.0378,0.0323,-0.0068,10.448,0.019,56.1,1.112e+00,10.439,0.020,53.8,8.766e-01,1,0,0000,AA,10,57522.30332867,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.136316,195.976185,
301.5643795,44.4568525,0.0370,0.0366,-0.0118,10.450,0.021,51.2,9.763e-01,10.423,0.018,59.1,1.127e+00,1,0,0000,AA,10,57885.83351542,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.137661,191.302102,
301.5643689,44.4568547,0.0327,0.0314,-0.0068,10.430,0.017,62.1,1.827e+00,10.421,0.018,59.1,1.790e+00,1,0,0000,AA,10,56793.42006983,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.138175,203.105482,
301.5643578,44.4568591,0.0367,0.0358,-0.0119,10.427,0.021,51.2,7.314e-01,10.471,0.020,55.3,1.324e+00,1,0,0000,AA,10,56974.56299779,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.138652,216.642151,
301.5643946,44.4568515,0.0360,0.0317,-0.0081,10.404,0.016,68.0,1.419e+00,10.425,0.021,51.3,8.050e-01,1,0,0000,AA,10,57892.05397345,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.139095,175.125463,
301.5643564,44.4568596,0.0332,0.0306,-0.0029,10.401,0.017,64.1,1.277e+00,10.431,0.018,61.9,6.928e-01,1,0,0000,AA,10,56792.63032043,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.139400,218.270355,
301.5643699,44.4568539,0.0313,0.0315,0.0025,10.469,0.018,61.6,2.236e+00,10.459,0.018,58.7,1.254e+00,1,0,0000,AA,10,57886.29193192,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.139840,201.673969,
301.5643812,44.4568516,0.0311,0.0306,0.0033,10.419,0.018,59.6,1.914e+00,10.444,0.019,56.9,1.303e+00,1,0,0000,AA,10,58053.35831749,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.140076,189.289837,
301.5643784,44.4568516,0.0345,0.0314,-0.0088,10.432,0.017,63.3,2.385e+00,10.450,0.017,62.4,1.294e+00,1,0,0000,AA,10,58252.93352080,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.141418,192.167855,
301.5643991,44.4568511,0.0391,0.0328,-0.0099,10.406,0.018,60.2,5.126e+00,10.539,0.021,52.0,3.849e+00,1,0,0000,AA,5,58416.64617895,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.141985,170.520414,
301.5643887,44.4568505,0.0299,0.0265,-0.0099,10.429,0.015,74.1,5.092e+00,10.506,0.016,68.9,4.008e+00,1,0,0000,AA,10,56793.88065051,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.142251,181.345712,
301.5643404,44.4568722,0.0366,0.0323,-0.0100,10.419,0.018,61.5,1.200e+00,10.438,0.019,55.8,1.214e+00,1,0,0000,AA,10,57692.16732500,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.142649,243.307823,
301.5643706,44.4568524,0.0333,0.0341,-0.0087,10.413,0.017,63.6,1.995e+00,10.427,0.020,53.3,7.678e-01,1,0,0000,AA,10,57334.15912666,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.144262,200.217699,
301.5643447,44.4568663,0.0350,0.0336,-0.0035,10.405,0.019,58.2,6.433e+00,10.455,0.021,52.1,4.559e+00,1,0,0000,AA,5,58417.03888907,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.144328,233.759659,
301.5643544,44.4568586,0.0367,0.0336,-0.0050,10.391,0.017,62.4,4.397e+00,10.457,0.021,52.9,1.600e+00,1,0,0000,AA,10,57522.04113921,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.145404,218.981572,
301.5643588,44.4568562,0.0347,0.0272,-0.0080,10.440,0.015,70.2,2.250e+00,10.469,0.018,59.0,1.261e+00,1,0,g000,AA,10,56798.42113309,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.145728,213.379773,
301.5643663,44.4568532,0.0310,0.0289,-0.0089,10.436,0.015,70.6,3.522e+00,10.479,0.018,59.1,8.427e-01,1,0,0000,AA,10,57333.24101852,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.145793,204.687704,
301.5643646,44.4568529,0.0386,0.0322,0.0033,10.443,0.020,53.5,1.170e+00,10.449,0.019,56.1,7.696e-01,1,0,0000,AA,10,56793.74911059,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.148648,206.043756,
301.5643634,44.4568532,0.0346,0.0303,0.0054,10.432,0.018,61.4,1.694e+00,10.394,0.020,54.8,1.357e+00,1,0,0000,AA,10,58056.82789563,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.149061,207.290904,
301.5643759,44.4568497,0.0332,0.0277,-0.0050,10.421,0.014,75.3,5.448e-01,10.440,0.018,60.3,8.713e-01,1,0,0000,AA,10,57157.04530203,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.149536,194.021887,
301.5643672,44.4568514,0.0347,0.0317,-0.0084,10.431,0.017,65.2,2.214e+00,10.436,0.018,59.2,5.730e-01,1,0,0000,AA,10,57521.45143694,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.150794,202.860769,
301.5643782,44.4568489,0.0320,0.0324,-0.0081,10.429,0.017,64.9,1.261e+00,10.439,0.018,59.0,7.644e-01,1,0,0000,AA,10,57157.50460968,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.151044,191.581222,
301.5643564,44.4568555,0.0320,0.0352,-0.0076,10.429,0.018,59.7,2.703e+00,10.442,0.018,60.5,1.487e+00,1,0,0000,AA,10,57693.01883378,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.151263,214.805398,
301.5643704,44.4568502,0.0360,0.0327,-0.0065,10.431,0.016,66.7,1.698e+00,10.466,0.023,47.5,9.621e-01,1,0,gg00,AA,10,57521.97568748,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.151886,199.367025,
301.5643611,44.4568531,0.0325,0.0305,-0.0019,10.403,0.016,68.1,1.126e+00,10.448,0.018,60.6,8.064e-01,1,0,0000,AA,10,56974.69441061,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.152197,209.206478,
