HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458741.08751,2019-09-14.5882431,bD,1.44,11.100,2.337,0.003,421941.622,1167.969,g
2458743.57502,2019-09-17.0755185,bp,1.55,11.172,2.859,0.003,260867.056,771.556,g
2458744.08317,2019-09-17.5836215,bD,1.47,11.120,2.324,0.003,426919.708,1081.263,g
2458744.08446,2019-09-17.5849079,bD,1.45,11.107,2.303,0.003,435437.966,1139.920,g
2458744.08575,2019-09-17.5861979,bD,1.39,11.138,2.364,0.002,411484.220,921.526,g
2458750.90586,2019-09-24.4056662,bt,1.54,10.886,2.513,0.003,358896.245,895.963,g
2458750.90706,2019-09-24.4068753,bt,1.51,10.908,2.549,0.003,347136.288,1003.329,g
2458750.90829,2019-09-24.4080971,bt,1.54,10.892,2.533,0.003,352176.172,881.879,g
2458751.89769,2019-09-25.3974104,bt,1.48,10.798,2.495,0.003,364839.544,1001.370,g
2458751.89891,2019-09-25.3986262,bt,1.51,10.651,2.313,0.005,431634.482,1996.658,g
2458752.93853,2019-09-26.4381459,bt,1.49,9.582,2.340,0.025,420937.595,9502.561,g
2458753.88003,2019-09-27.3795482,bt,1.51,10.902,2.582,0.003,336678.621,870.816,g
2458754.87924,2019-09-28.3786697,bt,1.49,10.709,2.321,0.004,428548.657,1396.615,g
2458754.91747,2019-09-28.4168927,bt,1.44,10.856,2.495,0.004,364818.401,1178.908,g
2458754.91868,2019-09-28.4181049,bt,1.50,10.867,2.530,0.003,353062.806,920.016,g
2458755.87379,2019-09-29.3731306,bt,1.49,10.567,2.330,0.005,424744.343,1789.466,g
2458755.87501,2019-09-29.3743451,bt,1.52,10.489,2.276,0.012,446201.594,4745.467,g
2458755.87623,2019-09-29.3755631,bt,1.54,10.393,2.242,0.008,460783.622,3584.973,g
2458757.10452,2019-09-30.6037375,bD,1.52,11.111,2.297,0.002,437617.047,864.623,g
2458758.91914,2019-10-02.4181903,bt,1.61,10.759,2.340,0.002,420548.498,820.606,g
2458758.92035,2019-10-02.4194072,bt,1.60,10.769,2.353,0.003,415674.459,1161.345,g
2458758.92161,2019-10-02.4206618,bt,1.61,10.828,2.467,0.003,374269.872,925.839,g
2458760.54425,2019-10-04.0431460,bp,1.52,11.148,2.752,0.003,287668.473,829.848,g
2458760.54669,2019-10-04.0455833,bp,1.56,11.137,2.741,0.003,290894.904,704.091,g
2458761.57195,2019-10-05.0707590,bp,1.50,11.157,2.747,0.003,289167.206,706.151,g
2458761.57317,2019-10-05.0719759,bp,1.51,11.151,2.738,0.003,291476.038,679.180,g
2458761.57439,2019-10-05.0731893,bp,1.51,11.166,2.768,0.003,283588.129,676.205,g
2458762.01345,2019-10-05.5122017,bD,1.46,11.075,2.289,0.002,440769.046,931.452,g
2458762.01473,2019-10-05.5134842,bD,1.45,11.055,2.242,0.002,460709.866,928.348,g
2458762.01602,2019-10-05.5147701,bD,1.45,11.044,2.223,0.002,468866.727,1076.821,g
2458762.83206,2019-10-06.3307416,bl,1.46,13.546,8.482,0.003,1470.437,4.685,g
2458762.83327,2019-10-06.3319515,bl,1.44,13.523,8.483,0.003,1468.648,4.322,g
2458762.83449,2019-10-06.3331679,bl,1.46,13.360,8.484,0.003,1467.168,4.735,g
2458764.78032,2019-10-08.2788167,bl,1.48,13.287,8.480,0.004,1473.073,5.066,g
2458764.78154,2019-10-08.2800359,bl,1.48,13.395,8.498,0.003,1447.901,4.415,g
2458764.78275,2019-10-08.2812511,bl,1.50,13.399,8.436,0.003,1533.298,5.002,g
2458765.77782,2019-10-09.2762293,bH,1.39,11.203,2.867,0.004,258892.542,921.513,g
2458765.77908,2019-10-09.2774920,bH,1.39,11.216,2.888,0.003,253833.911,736.517,g
2458765.78035,2019-10-09.2787649,bH,1.41,11.233,2.922,0.003,246244.374,714.508,g
2458768.55298,2019-10-12.0511486,bp,1.54,10.900,2.708,0.003,299890.548,949.424,g
2458768.55420,2019-10-12.0523697,bp,1.58,10.824,2.644,0.005,317969.982,1467.912,g
2458768.55542,2019-10-12.0535842,bp,1.51,10.857,2.667,0.004,311154.433,1167.343,g
2458768.97989,2019-10-12.4780188,bD,1.95,10.398,2.316,0.005,430344.148,1996.043,g
2458768.98118,2019-10-12.4793021,bD,1.53,10.435,2.291,0.005,439906.636,2157.227,g
2458769.98999,2019-10-13.4880177,bD,1.48,11.130,2.408,0.003,395048.514,984.123,g
2458769.99128,2019-10-13.4893092,bD,1.53,11.138,2.423,0.003,389593.044,1184.982,g
2458769.99256,2019-10-13.4905982,bD,1.48,11.160,2.463,0.003,375734.712,953.211,g
2458771.04289,2019-10-14.5408311,bD,1.55,11.136,2.349,0.003,417345.014,1022.188,g
2458771.04418,2019-10-14.5421202,bD,1.50,11.148,2.364,0.003,411587.494,1283.482,g
2458771.04547,2019-10-14.5434086,bD,1.50,11.136,2.339,0.002,421408.464,940.781,g
2458771.87311,2019-10-15.3709767,bl,1.54,11.368,3.233,0.004,184849.655,750.358,g
2458771.87433,2019-10-15.3721972,bl,1.54,11.238,2.971,0.003,235359.248,553.440,g
2458771.87554,2019-10-15.3734120,bl,1.54,11.080,2.863,0.005,259817.489,1124.205,g
2458779.14890,2019-10-22.6461469,bD,1.45,11.164,2.397,0.003,399299.355,997.001,g
2458779.15018,2019-10-22.6474334,bD,1.44,11.177,2.425,0.002,389043.203,873.646,g
2458779.15148,2019-10-22.6487226,bD,1.44,11.181,2.431,0.003,387018.404,935.842,g
2458780.15239,2019-10-23.6495516,bD,1.51,11.178,2.430,0.003,387316.643,961.192,g
2458780.15367,2019-10-23.6508416,bD,1.52,11.183,2.436,0.003,385050.089,1061.932,g
2458780.98624,2019-10-24.4833386,bt,1.51,11.113,2.684,0.004,306548.090,1076.001,g
2458781.14835,2019-10-24.6454315,bD,1.49,11.120,2.323,0.002,427354.438,903.069,g
2458781.14964,2019-10-24.6467190,bD,1.43,11.138,2.360,0.002,412964.696,842.010,g
2458781.15092,2019-10-24.6480049,bD,1.46,11.150,2.384,0.002,404068.509,777.212,g
2458782.15181,2019-10-25.6488172,bD,1.49,11.148,2.390,0.002,401591.032,899.662,g
2458782.15310,2019-10-25.6501031,bD,1.50,11.176,2.448,0.003,380758.119,994.380,g
2458782.15439,2019-10-25.6513906,bD,1.53,11.141,2.377,0.003,406526.503,1018.313,g
2458783.03031,2019-10-26.5272420,bD,1.45,10.883,2.142,0.002,504913.170,960.737,g
2458783.03160,2019-10-26.5285289,bD,1.45,10.906,2.166,0.002,494217.260,1091.525,g
2458783.03288,2019-10-26.5298173,bD,1.51,11.011,2.316,0.002,430322.880,858.739,g
2458783.56114,2019-10-27.0580340,bp,1.61,10.420,2.351,0.004,416574.107,1699.545,g
2458786.50203,2019-10-29.9986913,bp,1.49,11.229,2.841,0.002,265051.351,524.341,g
2458786.50324,2019-10-29.9999062,bp,1.49,11.217,2.821,0.002,270058.144,619.802,g
2458786.50447,2019-10-30.0011355,bp,1.48,11.232,2.850,0.002,263156.796,587.419,g
2458788.03674,2019-10-31.5332832,bD,1.47,10.571,2.156,0.002,498648.825,987.163,g
2458788.03802,2019-10-31.5345729,bD,1.43,10.873,2.211,0.003,473622.055,1168.333,g
2458788.03931,2019-10-31.5358657,bD,1.47,11.069,2.277,0.002,445699.707,890.142,g
2458790.03616,2019-11-02.5325627,bD,1.45,11.156,2.401,0.003,397864.875,939.687,g
2458790.03746,2019-11-02.5338586,bD,1.47,11.158,2.405,0.002,396154.076,777.143,g
2458790.03875,2019-11-02.5351496,bD,1.46,11.162,2.416,0.002,392135.702,813.457,g
2458791.70482,2019-11-04.2011122,bH,1.40,11.285,3.087,0.003,211549.408,573.086,g
2458791.70609,2019-11-04.2023765,bH,1.43,11.131,2.766,0.004,284298.530,959.441,g
2458791.70736,2019-11-04.2036440,bH,1.37,11.130,2.762,0.003,285153.007,735.505,g
2458792.47490,2019-11-04.9711312,bp,1.54,10.526,2.415,0.004,392562.212,1315.233,g
2458792.47611,2019-11-04.9723410,bp,1.55,10.962,2.679,0.003,308128.832,932.823,g
2458792.47731,2019-11-04.97355,bp,1.52,11.138,2.776,0.003,281787.870,832.158,g
2458794.98559,2019-11-07.4816586,bD,1.49,11.123,2.340,0.003,420605.115,991.379,g
2458794.98689,2019-11-07.4829450,bD,1.47,11.106,2.306,0.002,434282.122,883.334,g
2458794.98817,2019-11-07.4842335,bD,1.50,11.122,2.338,0.002,421843.786,698.909,g
2458795.95583,2019-11-08.4518307,bD,1.51,11.174,2.463,0.002,375996.974,760.047,g
2458795.95713,2019-11-08.4531238,bD,1.46,11.138,2.375,0.002,407311.848,935.272,g
2458795.95841,2019-11-08.4544122,bD,1.42,11.106,2.318,0.003,429387.440,1171.232,g
2458796.14430,2019-11-08.6402906,bD,1.49,11.124,2.344,0.003,419135.472,995.178,g
2458796.14561,2019-11-08.6415954,bD,1.45,11.173,2.445,0.002,381891.946,639.007,g
2458796.14690,2019-11-08.6428847,bD,1.47,11.169,2.435,0.002,385544.395,739.649,g
2458796.45247,2019-11-08.9484390,bp,1.67,11.196,2.830,0.002,267763.465,576.819,g
2458796.45369,2019-11-08.9496569,bp,1.62,11.211,2.861,0.002,260394.004,433.951,g
2458796.45494,2019-11-08.9509055,bp,1.58,11.231,2.892,0.003,252979.674,624.776,g
2458796.90985,2019-11-09.4057931,bD,1.46,11.149,2.442,0.003,382988.999,979.466,g
2458796.91115,2019-11-09.4070866,bD,1.45,11.073,2.325,0.003,426338.516,1048.893,g
2458796.91243,2019-11-09.4083741,bD,1.45,11.111,2.357,0.003,414008.150,998.216,g
2458797.10633,2019-11-09.6022635,bD,1.48,11.133,2.341,0.002,420145.062,881.146,g
2458797.10762,2019-11-09.6035491,bD,1.48,11.148,2.369,0.002,409860.967,919.828,g
2458797.10891,2019-11-09.6048369,bD,1.50,11.150,2.377,0.002,406747.726,858.960,g
2458797.47153,2019-11-09.9674291,bp,1.58,10.737,2.740,0.005,290953.504,1254.514,g
2458797.47273,2019-11-09.9686365,bp,1.54,10.766,2.709,0.004,299466.490,1069.433,g
2458797.47395,2019-11-09.9698476,bp,1.54,10.912,2.799,0.003,275744.522,854.632,g
2458797.69650,2019-11-10.1923906,bl,1.54,13.461,7.993,0.003,2306.184,7.302,g
2458797.69772,2019-11-10.1936131,bl,1.53,13.317,7.745,0.003,2899.414,9.562,g
2458797.69894,2019-11-10.1948299,bl,1.55,13.145,7.300,0.003,4364.626,13.156,g
2458797.91360,2019-11-10.4094684,bD,1.48,11.088,2.361,0.003,412489.519,995.943,g
2458797.91489,2019-11-10.4107619,bD,1.48,11.080,2.342,0.003,419986.378,1216.520,g
2458797.91619,2019-11-10.4120576,bD,1.52,11.150,2.481,0.003,369477.369,938.998,g
2458798.14785,2019-11-10.6437085,bD,1.54,11.125,2.380,0.002,405442.309,803.152,g
2458798.14915,2019-11-10.6450077,bD,1.47,11.106,2.338,0.002,421708.314,770.534,g
2458798.15044,2019-11-10.6462934,bD,1.45,11.089,2.307,0.002,433980.654,891.540,g
2458798.98885,2019-11-11.4846543,bD,1.51,11.213,2.517,0.003,357430.988,935.549,g
2458798.99013,2019-11-11.4859444,bD,1.54,11.215,2.521,0.002,356277.658,747.429,g
2458798.99143,2019-11-11.4872424,bD,1.54,11.164,2.409,0.003,394635.263,1084.016,g
2458799.69136,2019-11-12.1871273,bH,1.70,11.241,2.967,0.003,236254.979,704.883,g
2458799.69267,2019-11-12.1884291,bH,1.76,11.223,2.936,0.004,243067.931,945.836,g
2458799.69394,2019-11-12.1897050,bH,1.59,11.227,2.940,0.004,242182.457,806.297,g
2458800.82239,2019-11-13.3180880,bl,1.49,11.269,3.023,0.004,224248.694,794.663,g
2458804.73368,2019-11-17.2291575,bH,1.44,11.243,3.003,0.004,228304.377,779.189,g
2458804.73496,2019-11-17.2304361,bH,1.44,11.239,3.009,0.004,227236.860,861.630,g
2458804.73622,2019-11-17.2317003,bH,1.44,11.240,2.992,0.004,230666.372,819.373,g
2458805.10559,2019-11-17.6010450,bD,1.39,11.207,2.502,0.003,362174.230,865.685,g
2458805.10688,2019-11-17.6023314,bD,1.48,11.226,2.547,0.002,347708.920,669.354,g
2458805.10817,2019-11-17.6036195,bD,1.47,11.173,2.441,0.002,383582.585,799.806,g
2458807.58230,2019-11-20.0776262,bp,1.53,11.300,2.958,0.002,238082.245,493.358,g
2458807.58351,2019-11-20.0788479,bp,1.52,11.293,2.944,0.003,241115.240,602.500,g
2458807.58472,2019-11-20.0800576,bp,1.48,11.274,2.918,0.003,247221.655,660.534,g
2458808.12104,2019-11-20.6163429,bD,1.45,11.140,2.381,0.002,405075.122,812.927,g
2458808.12232,2019-11-20.6176268,bD,1.48,11.161,2.422,0.002,390108.115,848.160,g
2458808.12362,2019-11-20.6189210,bD,1.47,11.138,2.377,0.002,406617.546,800.207,g
2458808.94291,2019-11-21.4381721,bt,1.47,11.222,2.843,0.002,264812.699,585.009,g
2458808.94414,2019-11-21.4394052,bt,1.46,11.281,2.959,0.002,238025.638,434.395,g
2458808.94536,2019-11-21.4406208,bt,1.51,11.253,2.899,0.003,251321.785,654.113,g
2458810.47818,2019-11-22.9733780,bp,1.54,11.238,2.892,0.003,252880.857,604.327,g
2458810.47940,2019-11-22.9745878,bp,1.49,11.240,2.929,0.002,244611.122,544.889,g
2458810.48063,2019-11-22.9758259,bp,1.54,11.198,2.868,0.002,258814.697,554.910,g
2458810.65618,2019-11-23.1513717,bl,1.50,13.510,8.375,0.004,1623.185,5.497,g
2458810.65740,2019-11-23.1525871,bl,1.51,13.394,8.401,0.003,1583.424,5.257,g
2458810.65863,2019-11-23.1538134,bl,1.49,13.471,8.379,0.004,1615.733,5.426,g
2458811.81009,2019-11-24.3052239,bt,1.45,11.198,2.807,0.003,273547.345,639.801,g
2458811.81130,2019-11-24.3064432,bt,1.45,11.248,2.916,0.003,247568.395,582.632,g
2458811.81253,2019-11-24.3076753,bt,1.49,11.249,2.922,0.002,245979.022,556.081,g
2458812.78588,2019-11-25.2809699,bl,1.49,13.548,8.416,0.004,1563.042,5.406,g
2458812.78710,2019-11-25.2821901,bl,1.49,13.486,8.389,0.004,1601.241,5.248,g
2458812.78831,2019-11-25.2834072,bl,1.47,13.418,8.429,0.004,1542.158,5.369,g
2458815.64806,2019-11-28.1430462,bl,1.50,13.568,8.317,0.003,1711.319,5.101,g
2458815.64928,2019-11-28.1442583,bl,1.50,13.583,8.350,0.003,1659.191,4.950,g
2458815.65049,2019-11-28.1454753,bl,1.49,13.497,8.356,0.003,1650.629,4.665,g
2458816.64936,2019-11-29.1443031,bH,1.38,11.183,2.892,0.002,253084.293,577.637,g
2458816.65077,2019-11-29.1457053,bH,1.45,11.187,2.893,0.003,252790.342,735.746,g
2458816.65205,2019-11-29.1469877,bH,1.43,11.190,2.901,0.003,250978.248,668.363,g
2458816.98066,2019-11-29.4755851,bD,1.52,11.183,2.448,0.002,381030.373,745.237,g
2458816.98193,2019-11-29.4768599,bD,1.48,11.197,2.478,0.002,370371.728,810.591,g
2458816.98321,2019-11-29.4781373,bD,1.55,11.211,2.510,0.002,359716.604,779.759,g
2458817.65376,2019-11-30.1486670,bl,1.50,13.069,7.816,0.004,2712.298,10.896,g
2458817.65498,2019-11-30.1498803,bl,1.50,13.508,8.328,0.003,1694.132,5.282,g
2458817.65618,2019-11-30.1510957,bl,1.46,13.475,8.368,0.003,1632.756,4.517,g
2458819.46260,2019-12-01.9574488,bp,1.66,10.740,2.614,0.003,327016.230,993.533,g
2458819.46381,2019-12-01.9586635,bp,1.64,10.688,2.548,0.004,347360.530,1349.353,g
2458819.46503,2019-12-01.9598780,bp,1.57,10.731,2.569,0.004,340810.148,1111.404,g
2458819.62045,2019-12-02.1152875,bl,1.53,13.457,8.282,0.004,1767.122,5.956,g
2458819.62167,2019-12-02.1165068,bl,1.53,13.540,8.259,0.003,1805.033,5.172,g
2458819.62288,2019-12-02.1177199,bl,1.61,13.547,8.285,0.004,1762.852,6.284,g
2458820.63720,2019-12-03.1320171,bl,1.48,13.524,8.342,0.003,1671.224,4.975,g
2458820.63843,2019-12-03.1332373,bl,1.47,13.487,8.424,0.004,1550.088,5.744,g
2458820.63965,2019-12-03.1344561,bl,1.46,13.533,8.395,0.003,1591.670,4.385,g
2458820.92313,2019-12-03.4179282,bt,1.63,11.135,2.823,0.002,269634.592,518.039,g
2458820.92437,2019-12-03.4191692,bt,1.56,11.134,2.783,0.003,279675.844,729.166,g
2458820.92559,2019-12-03.4203906,bt,1.63,11.169,2.835,0.003,266742.660,807.997,g
2458821.38984,2019-12-03.8846334,bp,1.53,11.249,2.950,0.002,239912.643,525.530,g
2458821.85631,2019-12-04.3510936,bD,1.43,11.194,2.502,0.003,362414.395,866.961,g
2458821.85759,2019-12-04.3523640,bD,1.53,11.208,2.533,0.002,352182.265,730.960,g
2458821.85886,2019-12-04.3536410,bD,1.43,11.243,2.597,0.002,331981.907,724.869,g
2458822.38079,2019-12-04.8755547,bp,1.56,11.260,2.944,0.002,241120.761,485.129,g
2458822.38200,2019-12-04.8767717,bp,1.58,11.260,2.950,0.003,239947.331,643.039,g
2458822.38321,2019-12-04.8779724,bp,1.53,11.297,3.010,0.003,226891.411,578.945,g
2458823.36994,2019-12-05.8646740,bp,1.54,11.267,2.982,0.002,232956.703,506.228,g
2458823.37115,2019-12-05.8658795,bp,1.54,11.257,2.966,0.002,236546.240,426.756,g
2458823.37238,2019-12-05.8671068,bp,1.49,11.269,2.982,0.003,232996.036,594.164,g
2458823.67331,2019-12-06.1680457,bl,1.48,13.641,8.477,0.004,1476.048,5.459,g
2458823.67454,2019-12-06.1692726,bl,1.50,13.527,8.448,0.003,1517.152,4.203,g
2458823.67576,2019-12-06.1704862,bl,1.50,13.467,8.460,0.003,1501.074,4.769,g
2458824.83639,2019-12-07.3310947,bt,1.48,11.334,3.029,0.003,222999.065,684.264,g
2458824.83761,2019-12-07.3323109,bt,1.51,11.351,3.064,0.003,216035.323,527.699,g
2458824.83884,2019-12-07.3335391,bt,1.54,11.410,3.180,0.003,194187.285,584.713,g
2458825.41063,2019-12-07.9053142,bp,1.61,11.255,2.930,0.002,244226.815,533.140,g
2458825.41185,2019-12-07.9065274,bp,1.52,11.317,3.038,0.003,221241.310,603.785,g
2458825.41311,2019-12-07.9077927,bp,1.60,11.281,2.964,0.002,236706.417,498.302,g
2458825.84551,2019-12-08.3401825,bD,1.50,11.229,2.568,0.003,340986.305,837.419,g
2458825.84680,2019-12-08.3414694,bD,1.50,11.274,2.658,0.003,314129.295,748.184,g
2458825.84808,2019-12-08.3427517,bD,1.49,11.267,2.642,0.002,318687.148,705.069,g
2458826.92513,2019-12-09.4197978,bD,1.53,11.284,2.630,0.003,322060.750,752.257,g
2458826.92642,2019-12-09.4210783,bD,1.54,11.301,2.671,0.002,310102.200,707.003,g
2458827.79941,2019-12-10.2940469,bl,1.54,11.528,3.566,0.004,136016.498,498.875,g
2458827.90709,2019-12-10.4017234,bD,1.44,11.295,2.648,0.002,316713.487,689.061,g
2458827.90837,2019-12-10.4030047,bD,1.47,11.341,2.740,0.003,291311.010,790.632,g
2458827.90965,2019-12-10.4042822,bD,1.46,11.289,2.638,0.002,319761.606,695.255,g
2458831.63487,2019-12-14.1294542,bH,1.50,11.389,3.247,0.006,182402.471,971.266,g
2458833.97262,2019-12-16.4671703,bD,1.55,11.275,2.629,0.002,322481.477,625.038,g
2458833.97390,2019-12-16.4684539,bD,1.62,11.256,2.597,0.002,331941.478,730.487,g
2458833.97518,2019-12-16.4697451,bD,1.65,11.281,2.638,0.002,319593.457,597.093,g
2458834.72463,2019-12-17.2191863,bl,1.43,13.431,8.502,0.004,1442.333,5.023,g
2458834.72585,2019-12-17.2204045,bl,1.49,13.719,8.470,0.003,1485.178,4.150,g
2458837.00470,2019-12-19.4992449,bD,1.47,11.302,2.681,0.002,307273.057,630.167,g
2458837.00598,2019-12-19.5005268,bD,1.52,11.271,2.616,0.002,326182.208,659.116,g
2458837.00725,2019-12-19.5018016,bD,1.47,11.305,2.686,0.002,306008.307,685.301,g
2458838.56129,2019-12-21.0558340,bl,1.52,13.447,8.311,0.003,1720.735,5.257,g
2458838.56253,2019-12-21.0570657,bl,1.50,13.528,8.344,0.004,1669.619,5.854,g
2458838.83958,2019-12-21.3341307,bt,1.50,11.326,3.062,0.002,216313.455,487.648,g
2458838.84081,2019-12-21.3353609,bt,1.53,11.274,2.955,0.002,238894.272,513.359,g
2458838.84203,2019-12-21.3365807,bt,1.53,11.356,3.118,0.002,205590.987,423.204,g
2458839.88914,2019-12-22.3836850,bt,1.47,11.327,3.050,0.003,218711.136,567.691,g
2458839.89036,2019-12-22.3849001,bt,1.46,11.291,3.005,0.003,228182.710,599.138,g
2458839.89157,2019-12-22.3861233,bt,1.48,11.319,3.050,0.003,218890.823,618.351,g
2458840.55314,2019-12-23.0476907,bl,1.50,13.527,8.264,0.004,1795.685,5.681,g
2458840.55436,2019-12-23.0489079,bl,1.48,13.644,8.279,0.004,1770.477,5.886,g
2458840.55558,2019-12-23.0501284,bl,1.50,13.620,8.323,0.004,1700.983,5.521,g
2458841.84623,2019-12-24.3407831,bD,1.45,11.301,2.672,0.002,309759.772,605.303,g
2458841.84751,2019-12-24.3420638,bD,1.44,11.328,2.725,0.002,295276.524,670.860,g
2458841.84880,2019-12-24.3433527,bD,1.50,11.319,2.704,0.002,300969.880,613.500,g
2458842.69827,2019-12-25.1928254,bH,1.43,11.376,3.274,0.005,178011.609,759.829,g
2458842.69953,2019-12-25.1940880,bH,1.43,11.306,3.120,0.005,205124.846,912.906,g
2458842.70079,2019-12-25.1953519,bH,1.40,11.283,3.078,0.005,213371.164,945.768,g
2458843.55025,2019-12-26.0448155,bl,1.49,13.602,8.306,0.003,1727.751,4.770,g
2458843.55147,2019-12-26.0460324,bl,1.53,13.479,8.310,0.004,1720.824,6.157,g
2458843.55269,2019-12-26.0472556,bl,1.48,13.516,8.322,0.003,1704.488,5.194,g
2458843.80771,2019-12-26.3022804,bt,1.46,10.544,2.788,0.004,278383.986,971.377,g
