HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458872.82226,2020-01-24.3177707,bt,1.46,11.377,3.201,0.003,190505.896,478.596,g
2458872.82348,2020-01-24.3189949,bt,1.42,11.372,3.192,0.003,191881.414,532.674,g
2458872.82470,2020-01-24.3202107,bt,1.45,11.418,3.282,0.003,176697.383,416.244,g
2458873.81917,2020-01-25.3147358,bt,1.66,9.931,2.907,0.007,249633.677,1607.796,g
2458873.82163,2020-01-25.3171934,bt,1.69,9.736,2.868,0.011,258606.337,2612.794,g
2458874.81538,2020-01-26.3110001,bt,1.75,11.289,3.060,0.003,216851.773,548.585,g
2458874.81659,2020-01-26.3122079,bt,1.72,11.299,3.086,0.003,211708.407,548.227,g
2458874.81780,2020-01-26.3134274,bt,1.68,11.367,3.232,0.003,185014.116,492.025,g
2458875.82590,2020-01-27.3215806,bt,1.48,11.319,3.101,0.003,208752.969,541.554,g
2458875.82713,2020-01-27.3228099,bt,1.46,11.361,3.185,0.003,193248.968,449.688,g
2458875.82835,2020-01-27.3240295,bt,1.44,11.337,3.135,0.003,202221.087,627.883,g
2458877.79804,2020-01-29.2938487,bt,1.54,11.341,3.130,0.003,203360.885,582.543,g
2458877.79926,2020-01-29.2950649,bt,1.54,11.350,3.157,0.003,198144.875,467.697,g
2458877.80048,2020-01-29.2962834,bt,1.52,11.337,3.136,0.003,202138.705,543.867,g
2458878.82672,2020-01-30.3225861,bt,1.52,11.272,3.113,0.004,206313.079,666.877,g
2458878.82794,2020-01-30.3238056,bt,1.55,11.285,3.142,0.003,201060.839,600.403,g
2458878.82916,2020-01-30.3250297,bt,1.49,11.290,3.162,0.003,197258.670,558.978,g
2458879.80568,2020-01-31.3016010,bt,1.44,11.354,3.186,0.003,192969.616,518.384,g
2458879.80689,2020-01-31.3028204,bt,1.48,11.360,3.197,0.003,191054.878,477.290,g
2458879.80811,2020-01-31.3040375,bt,1.48,11.381,3.252,0.003,181735.697,474.626,g
2458880.78506,2020-02-01.2810478,bt,1.52,11.371,3.190,0.002,192322.690,399.872,g
2458880.78629,2020-02-01.2822807,bt,1.54,11.351,3.148,0.003,199916.127,508.315,g
2458880.78751,2020-02-01.2835049,bt,1.58,11.375,3.194,0.003,191619.897,530.623,g
2458881.70602,2020-02-02.202075,bt,1.47,11.238,3.164,0.004,197000.364,684.280,g
2458881.70725,2020-02-02.2033098,bt,1.57,11.139,3.091,0.003,210639.483,607.587,g
2458881.70847,2020-02-02.2045273,bt,1.56,11.090,3.038,0.004,221324.085,912.648,g
