
ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
301.5643835,44.4568445,0.0351,0.0293,-0.0022,10.424,0.017,64.9,1.912e+00,10.471,0.018,60.2,1.285e+00,1,0,0000,AA,10,57693.21544424,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.169187,194.512086
301.5643663,44.4568470,0.0329,0.0354,-0.0121,10.460,0.021,52.6,2.094e+00,10.451,0.021,51.9,9.161e-01,1,0,0000,AA,10,57693.01896111,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.177365,209.222777
301.5643564,44.4568555,0.0320,0.0352,-0.0076,10.429,0.018,59.7,2.703e+00,10.442,0.018,60.5,1.487e+00,1,0,0000,AA,10,57693.01883378,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.167278,222.052044
301.5643459,44.4568358,0.0355,0.0293,-0.0058,10.427,0.015,72.5,3.209e+00,10.436,0.018,58.7,1.168e+00,1,0,0000,AA,5,57692.95338531,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.239582,215.468410
301.5643442,44.4568486,0.0342,0.0311,0.0028,10.412,0.016,66.0,9.766e-01,10.370,0.023,46.9,5.186e-01,1,0,0000,AA,10,57692.88793333,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.206823,223.891895
301.5643806,44.4568534,0.0312,0.0299,-0.0060,10.408,0.016,69.3,2.164e+00,10.413,0.017,62.2,8.076e-01,1,0,0000,AA,5,57692.82235407,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.140883,200.723705
301.5642750,44.4568329,0.0354,0.0321,-0.0072,10.447,0.016,68.1,1.739e+01,10.609,0.026,42.4,4.978e+00,1,0,g000,AA,0,57692.75690209,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.381348,237.381820
301.5643762,44.4568376,0.0349,0.0328,-0.0025,10.406,0.018,59.1,2.630e+00,10.430,0.022,50.3,9.464e-01,1,0,0000,AA,10,57692.69145010,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.198312,197.962539
301.5643740,44.4568474,0.0330,0.0332,-0.0103,10.426,0.020,53.6,1.640e+00,10.454,0.017,62.5,1.069e+00,1,0,0000,AA,10,57692.69132274,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.167278,203.539832
301.5643595,44.4568435,0.0369,0.0309,-0.0114,10.418,0.017,62.7,1.717e+00,10.424,0.018,60.6,7.510e-01,1,0,0000,AA,10,57692.62587075,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.197117,211.868302
301.5642938,44.4568467,0.0344,0.0325,0.0061,10.477,0.018,60.9,1.381e+01,10.512,0.020,54.7,7.274e+00,1,0,0000,AA,5,57692.56041882,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.314273,240.264342
301.5643243,44.4568450,0.0365,0.0309,-0.0114,10.423,0.016,66.2,1.875e+00,10.447,0.020,53.4,1.460e+00,1,0,0000,AA,10,57692.42938752,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.253137,230.211662
301.5643765,44.4568332,0.0377,0.0345,0.0105,10.430,0.019,57.1,4.771e+00,10.443,0.019,57.1,2.539e+00,1,0,0000,AA,10,57692.36380823,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.213210,196.452567
301.5643346,44.4568474,0.0385,0.0333,-0.0152,10.417,0.018,59.5,1.659e+00,10.446,0.021,52.1,1.391e+00,1,0,0000,AA,10,57692.29835624,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.227508,227.617214
301.5643475,44.4568565,0.0376,0.0318,-0.0084,10.423,0.020,54.9,1.279e+00,10.437,0.020,55.5,7.542e-01,1,0,0000,AA,10,57692.23290431,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.180950,228.204292
301.5643404,44.4568722,0.0366,0.0323,-0.0100,10.419,0.018,61.5,1.200e+00,10.438,0.019,55.8,1.214e+00,1,0,0000,AA,10,57692.16732500,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.166002,247.294691
301.5646271,44.4570023,0.0372,0.0371,-0.0037,10.212,0.018,59.7,1.067e+02,10.550,0.021,52.6,1.330e+01,1,0,0000,AA,10,57692.03629370,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.709912,55.286183
301.5643622,44.4568409,0.0405,0.0322,-0.0107,10.417,0.019,56.2,1.849e+00,10.416,0.023,47.9,1.444e+00,1,0,0000,AA,10,57691.90538978,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.201689,208.789126
301.5643679,44.4568421,0.0388,0.0353,-0.0073,10.414,0.020,55.7,1.174e+00,10.422,0.019,55.9,9.709e-01,1,0,0000,AA,10,57522.63084194,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.191156,205.563457
301.5643432,44.4568341,0.0374,0.0335,-0.0106,10.445,0.019,57.8,1.855e+00,10.435,0.020,54.8,1.350e+00,1,0,0000,AA,10,57522.49981116,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.248600,215.952267
301.5643576,44.4568188,0.0351,0.0310,-0.0097,10.398,0.016,66.1,1.091e+00,10.441,0.019,56.9,1.533e+00,1,0,0000,AA,10,57522.36878042,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.278512,203.028362
301.5643754,44.4568536,0.0378,0.0323,-0.0068,10.448,0.019,56.1,1.112e+00,10.439,0.020,53.8,8.766e-01,1,0,0000,AA,10,57522.30332867,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.145501,205.752127
301.5643656,44.4568445,0.0380,0.0317,-0.0059,10.408,0.018,60.6,1.542e+00,10.425,0.020,54.9,1.280e+00,1,0,0000,AA,10,57522.23774962,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.186123,208.353417
301.5643610,44.4568509,0.0366,0.0337,-0.0062,10.411,0.020,54.8,1.482e+00,10.434,0.020,53.4,8.990e-01,1,0,0000,AA,10,57522.17229797,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.172778,215.449068
301.5643626,44.4568522,0.0384,0.0373,-0.0090,10.417,0.020,55.0,2.610e+00,10.435,0.020,55.3,1.248e+00,1,0,0000,AA,10,57522.17217061,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.166599,215.230694
301.5643722,44.4568676,0.0375,0.0319,-0.0069,10.414,0.017,64.6,3.050e+00,10.425,0.021,51.0,1.494e+00,1,0,g000,AA,5,57522.10671831,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.107751,221.536111
