
ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
301.5643538,44.4568348,0.0358,0.0321,-0.0061,10.438,0.018,61.0,3.265e+00,10.463,0.019,57.5,2.370e+00,1,0,0000,AA,10,58055.91131694,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.231480,210.854158
301.5643536,44.4568471,0.0361,0.0363,-0.0085,10.402,0.019,57.8,1.183e+00,10.406,0.020,53.0,7.386e-01,1,0,0000,AA,10,58055.84586529,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.195118,217.668570
301.5643391,44.4568263,0.0354,0.0293,-0.0070,10.413,0.015,70.4,4.926e+00,10.454,0.018,59.8,2.536e+00,1,0,0000,AA,5,58054.20931771,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.277628,214.309772
301.5643371,44.4568550,0.0315,0.0304,-0.0081,10.428,0.016,66.5,1.974e+00,10.421,0.018,60.4,1.411e+00,1,0,0000,AA,10,58053.94738297,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.204942,232.061162
301.5643611,44.4568436,0.0348,0.0303,-0.0096,10.399,0.016,67.4,1.942e+00,10.448,0.018,59.7,8.774e-01,1,0,0000,AA,10,58053.88193123,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.194658,210.896498
301.5643549,44.4568468,0.0358,0.0324,-0.0115,10.427,0.016,68.4,3.355e+00,10.443,0.021,52.6,1.292e+00,1,0,0000,AA,5,58053.81647948,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.193953,216.692423
301.5643099,44.4568306,0.0358,0.0299,-0.0080,10.427,0.016,68.6,1.644e+00,10.442,0.018,61.1,6.991e-01,1,0,0000,AA,10,58053.75102782,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.315159,227.273505
301.5643454,44.4568717,0.0366,0.0318,-0.0094,10.437,0.017,64.7,7.521e-01,10.450,0.018,58.9,9.779e-01,1,0,0000,AA,10,58053.68557608,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.154995,244.846926
301.5643189,44.4568107,0.0346,0.0298,0.0015,10.457,0.015,71.4,3.341e+00,10.455,0.019,58.0,2.264e+00,1,0,0000,AA,5,58053.62012433,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.353449,216.128720
301.5643492,44.4568344,0.0339,0.0320,-0.0097,10.436,0.016,67.6,1.030e+00,10.412,0.023,47.6,1.088e+00,1,0,0000,AA,10,58053.55467263,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.238970,213.110673
301.5643559,44.4568431,0.0325,0.0292,0.0080,10.421,0.015,70.7,1.333e+00,10.437,0.018,58.9,1.302e+00,1,0,0000,AA,10,58053.48922093,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.203345,213.868117
301.5643208,44.4568360,0.0323,0.0296,-0.0080,10.398,0.017,62.7,5.453e+00,10.427,0.019,56.2,3.203e+00,1,0,0000,AA,5,58053.42376924,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.281447,226.311897
301.5643812,44.4568516,0.0311,0.0306,0.0033,10.419,0.018,59.6,1.914e+00,10.444,0.019,56.9,1.303e+00,1,0,0000,AA,10,58053.35831749,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.146439,199.262165
301.5643561,44.4568627,0.0307,0.0309,-0.0047,10.418,0.017,63.7,2.591e+00,10.451,0.017,63.3,8.930e-01,1,0,0000,AA,10,58053.35819016,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.149599,228.936509
301.5643776,44.4568834,0.0345,0.0345,0.0053,10.447,0.018,60.8,4.648e+00,10.529,0.019,56.0,1.926e+00,1,0,0000,AA,10,58053.29273841,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.062235,247.569485
301.5643445,44.4568513,0.0341,0.0363,-0.0134,10.437,0.018,59.0,8.961e+00,10.468,0.020,53.9,1.518e+00,1,0,0000,AA,5,58053.22728667,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.199381,225.669171
301.5643438,44.4568452,0.0367,0.0323,-0.0119,10.414,0.017,64.1,3.143e+00,10.450,0.023,46.9,1.150e+00,1,0,0000,AA,5,58053.03093157,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.216486,221.841567
301.5643544,44.4568414,0.0331,0.0278,-0.0053,10.421,0.016,67.1,2.414e+00,10.426,0.018,61.7,1.354e+00,1,0,g000,AA,10,58052.96547983,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.210580,213.810930
301.5643492,44.4568386,0.0344,0.0313,-0.0110,10.415,0.019,58.2,1.326e+00,10.456,0.018,61.8,1.706e+00,1,0,0000,AA,10,58052.90002812,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.226446,215.200917
301.5643816,44.4568562,0.0365,0.0349,0.0067,10.454,0.017,62.4,1.124e+01,10.495,0.023,46.6,5.535e+00,1,0,0000,AA,5,58052.83457642,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.130546,201.234413
301.5644121,44.4568405,0.0384,0.0340,-0.0107,10.414,0.021,51.8,3.908e+00,10.433,0.020,54.0,1.880e+00,1,0,0000,AA,10,58052.70367293,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.180898,170.102714
301.5643547,44.4568504,0.0394,0.0363,0.0099,10.401,0.020,54.3,4.156e+00,10.426,0.021,51.0,1.398e+00,1,0,0000,AA,10,58052.70354560,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.184056,219.232294
301.5643565,44.4568244,0.0361,0.0345,0.0073,10.425,0.018,59.9,1.279e+00,10.431,0.019,58.5,1.253e+00,1,0,0000,AA,10,58052.57264211,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.261273,205.328825
301.5643384,44.4568380,0.0330,0.0304,-0.0118,10.428,0.016,66.7,1.126e+00,10.434,0.019,57.9,1.051e+00,1,0,0000,AA,10,58052.44173872,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.245156,220.216289
301.5643946,44.4568515,0.0360,0.0317,-0.0081,10.404,0.016,68.0,1.419e+00,10.425,0.021,51.3,8.050e-01,1,0,0000,AA,10,57892.05397345,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.139298,185.717079
301.5643250,44.4568562,0.0373,0.0293,-0.0056,10.440,0.016,69.3,2.385e+00,10.461,0.019,58.2,6.890e-01,1,0,0000,AA,10,57891.98852174,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.227922,237.732438
301.5643740,44.4568420,0.0342,0.0311,-0.0119,10.440,0.016,66.0,2.229e+00,10.438,0.020,54.5,1.121e+00,1,0,0000,AA,10,57886.94657667,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.185258,201.137991
301.5643462,44.4568349,0.0338,0.0323,-0.0055,10.403,0.018,60.0,1.598e+00,10.464,0.019,58.0,1.706e+00,1,0,g000,AA,10,57886.81567329,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.241780,214.874104
301.5643119,44.4568397,0.0390,0.0354,0.0080,10.400,0.020,53.4,1.871e+00,10.445,0.022,50.5,1.188e+00,1,0,0000,AA,10,57886.68476987,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.289896,231.344150
301.5643310,44.4568443,0.0359,0.0343,-0.0083,10.421,0.018,61.6,2.028e+00,10.451,0.019,56.3,1.524e+00,1,0,0000,AA,5,57886.55373924,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.241878,227.141599
301.5643680,44.4568489,0.0312,0.0285,-0.0093,10.449,0.015,70.5,2.518e+00,10.464,0.017,63.5,1.607e+00,1,0,0000,AA,5,57886.48828700,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.169271,209.062667
301.5643956,44.4568439,0.0345,0.0331,-0.0155,10.453,0.017,63.1,2.016e+00,10.479,0.020,53.8,1.390e+00,1,0,gg00,AA,10,57886.42283529,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.166343,183.897329
301.5643329,44.4568490,0.0354,0.0319,-0.0069,10.417,0.018,61.2,1.486e+00,10.434,0.020,53.0,1.206e+00,1,0,gg00,AA,10,57886.35738363,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.226967,229.434902
301.5643699,44.4568539,0.0313,0.0315,0.0025,10.469,0.018,61.6,2.236e+00,10.459,0.018,58.7,1.254e+00,1,0,0000,AA,10,57886.29193192,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.151232,210.758766
301.5643253,44.4568407,0.0379,0.0364,-0.0041,10.467,0.019,57.7,8.709e+00,10.483,0.020,54.7,3.872e+00,1,0,0000,AA,5,57886.22635289,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.261417,227.242941
301.5643837,44.4568348,0.0368,0.0355,-0.0151,10.421,0.018,61.4,1.971e+00,10.466,0.020,54.5,1.394e+00,1,0,0000,AA,10,57886.16090124,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.203089,191.902109
301.5643645,44.4568384,0.0332,0.0312,-0.0010,10.388,0.016,67.8,2.902e+00,10.470,0.020,55.2,1.908e+00,1,0,0000,AA,5,57886.09544953,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.206960,206.154197
301.5643285,44.4568263,0.0326,0.0331,0.0049,10.401,0.015,70.6,3.123e+00,10.447,0.019,56.9,1.502e+00,1,0,gg00,AA,10,57886.02999781,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.293845,218.701014
301.5642973,44.4568891,0.0380,0.0355,-0.0073,10.446,0.018,59.1,2.510e+00,10.407,0.022,49.8,1.228e+00,1,0,0000,AA,10,57885.96454611,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.263917,269.296624
301.5643909,44.4568568,0.0329,0.0336,0.0097,10.500,0.016,67.3,8.714e+01,10.584,0.023,47.1,2.276e+01,1,0,0000,AA,0,57885.89909440,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.121785,191.069750
301.5643216,44.4567760,0.0339,0.0361,-0.0097,10.337,0.019,57.2,1.754e+01,10.494,0.019,57.9,6.654e+00,1,0,0000,AA,0,57885.89896708,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.457180,206.145485
301.5643795,44.4568525,0.0370,0.0366,-0.0118,10.450,0.021,51.2,9.763e-01,10.423,0.018,59.1,1.127e+00,1,0,0000,AA,10,57885.83351542,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.144916,201.315665
301.5643721,44.4568553,0.0335,0.0301,-0.0063,10.442,0.015,71.0,1.021e+00,10.428,0.019,58.3,1.476e+00,1,0,0000,AA,10,57885.76806372,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.144033,209.851613
301.5643454,44.4568437,0.0351,0.0323,-0.0095,10.422,0.016,67.4,1.704e+00,10.446,0.021,52.9,1.071e+00,1,0,g000,AA,10,57885.70261200,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.217878,220.088471
301.5643612,44.4568379,0.0377,0.0311,-0.0059,10.456,0.017,65.1,2.053e+00,10.455,0.022,49.4,1.065e+00,1,0,0000,AA,10,57885.63716029,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.212411,207.993602
301.5643352,44.4568329,0.0349,0.0306,-0.0083,10.443,0.016,68.3,1.644e+00,10.445,0.019,57.1,1.124e+00,1,0,0000,AA,10,57885.57170863,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.264543,219.008593
301.5643584,44.4568218,0.0436,0.0378,0.0135,10.414,0.023,47.4,5.629e+00,10.491,0.020,54.4,3.649e+00,1,0,0000,AA,10,57885.50625697,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.267773,203.527537
301.5643612,44.4568386,0.0378,0.0324,-0.0123,10.408,0.018,60.2,1.174e+00,10.456,0.019,57.2,9.490e-01,1,0,0000,AA,10,57885.50612961,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.210198,208.316029
301.5643712,44.4568333,0.0332,0.0320,-0.0084,10.416,0.016,65.8,1.456e+00,10.423,0.018,59.4,1.061e+00,1,0,0000,AA,10,57885.44067789,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.217118,199.928320
301.5643566,44.4568399,0.0357,0.0299,-0.0071,10.401,0.015,71.5,1.861e+00,10.467,0.020,55.3,1.181e+00,1,0,g000,AA,10,57885.30977453,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.212055,211.729454
301.5643687,44.4568413,0.0334,0.0298,0.0074,10.414,0.016,68.1,3.830e+00,10.473,0.019,57.9,1.370e+00,1,0,0000,AA,10,57885.17887116,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.192878,204.643422
301.5643395,44.4568456,0.0365,0.0302,-0.0116,10.438,0.017,63.7,1.069e+00,10.447,0.019,57.5,7.344e-01,1,0,0000,AA,10,57885.04784052,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.222978,224.204298
301.5643423,44.4568352,0.0339,0.0325,-0.0040,10.393,0.017,64.7,1.840e+00,10.426,0.019,57.7,7.223e-01,1,0,0000,AA,10,57700.81384698,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.246788,216.926745
301.5643783,44.4568312,0.0374,0.0370,0.0119,10.434,0.020,53.2,2.707e+00,10.388,0.020,54.3,1.422e+00,1,0,0000,AA,10,57693.67398964,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.218895,194.757511
301.5643392,44.4568120,0.0375,0.0298,-0.0066,10.462,0.016,68.5,2.763e+00,10.445,0.018,59.7,9.934e-01,1,0,0000,AA,5,57693.54295845,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.321333,209.090747
301.5643539,44.4568467,0.0341,0.0299,-0.0051,10.420,0.015,70.1,1.320e+00,10.436,0.018,61.1,5.885e-01,1,0,0000,AA,10,57693.41192731,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.195795,217.232468
301.5643408,44.4568531,0.0321,0.0293,-0.0073,10.404,0.015,71.8,1.659e+00,10.433,0.018,61.3,8.094e-01,1,0,0000,AA,10,57693.28089617,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.201946,228.870737
