HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457542.02367,2016-06-02.5227840,bd,1.52,15.450,11.882,0.009,67.774,0.553,V
2457548.97784,2016-06-09.4766643,bd,1.49,15.489,11.880,0.009,67.889,0.544,V
2457548.97910,2016-06-09.4779202,bd,1.53,15.499,11.901,0.009,66.642,0.537,V
2457548.98035,2016-06-09.4791689,bd,1.46,15.508,11.883,0.009,67.691,0.532,V
2457557.90936,2016-06-18.4078223,bd,1.48,99.990,99.990,99.990,99.990,99.990,V
2457557.91061,2016-06-18.4090752,bd,1.69,13.367,11.898,0.058,66.788,3.516,V
2457558.98436,2016-06-19.4827802,bd,1.56,15.378,11.891,0.010,67.172,0.589,V
2457558.98560,2016-06-19.4840223,bd,1.51,15.372,11.894,0.010,67.085,0.591,V
2457558.98685,2016-06-19.4852738,bd,1.49,15.388,11.889,0.010,67.317,0.594,V
2457566.91756,2016-06-27.4157013,bd,1.51,15.504,11.897,0.009,66.830,0.531,V
2457566.91882,2016-06-27.4169665,bd,1.45,15.510,11.880,0.009,67.866,0.527,V
2457566.92009,2016-06-27.4182315,bd,1.53,15.494,11.899,0.009,66.742,0.535,V
2457570.92165,2016-07-01.4196819,bd,1.64,15.473,11.894,0.009,67.048,0.540,V
2457570.92293,2016-07-01.4209462,bd,1.57,15.480,11.887,0.009,67.446,0.552,V
2457570.92420,2016-07-01.4222105,bd,1.67,15.447,11.890,0.009,67.304,0.560,V
2457575.99354,2016-07-06.4914016,bd,1.56,15.499,11.898,0.009,66.759,0.526,V
2457575.99478,2016-07-06.4926434,bd,1.62,15.502,11.906,0.009,66.319,0.528,V
2457575.99604,2016-07-06.4939028,bd,1.57,15.492,11.889,0.009,67.296,0.534,V
2457582.00461,2016-07-12.5023114,bd,1.73,15.382,11.885,0.010,67.603,0.587,V
2457582.99289,2016-07-13.4905696,bd,1.59,15.491,11.886,0.009,67.533,0.537,V
2457582.99415,2016-07-13.4918226,bd,1.56,15.485,11.894,0.009,67.045,0.531,V
2457582.99540,2016-07-13.4930807,bd,1.61,15.502,11.895,0.009,66.982,0.534,V
2457586.91554,2016-07-17.4131269,bd,1.63,15.399,11.887,0.010,67.449,0.579,V
2457586.91680,2016-07-17.4143909,bd,1.59,15.432,11.902,0.009,66.586,0.564,V
2457586.91807,2016-07-17.4156584,bd,1.66,15.419,11.896,0.009,66.913,0.567,V
2457592.84683,2016-07-23.3442998,bd,1.57,15.402,11.897,0.010,66.905,0.576,V
2457592.84809,2016-07-23.3455609,bd,1.64,15.421,11.884,0.009,67.626,0.571,V
2457592.84933,2016-07-23.3468045,bd,1.56,15.445,11.895,0.009,66.975,0.558,V
2457596.89119,2016-07-27.3886027,bd,1.70,15.468,11.882,0.009,67.809,0.551,V
2457596.89245,2016-07-27.3898630,bd,1.70,15.470,11.900,0.009,66.665,0.542,V
2457596.89371,2016-07-27.3911166,bd,1.80,15.473,11.894,0.009,67.026,0.548,V
2457603.01001,2016-08-02.5073482,bd,1.58,15.476,11.895,0.009,66.952,0.543,V
2457603.01126,2016-08-02.5085981,bd,1.58,15.500,11.900,0.009,66.659,0.538,V
2457603.01252,2016-08-02.5098538,bd,1.57,15.486,11.904,0.009,66.435,0.539,V
2457605.97103,2016-08-05.4683431,bd,2.25,15.356,11.886,0.010,67.588,0.615,V
2457605.97234,2016-08-05.4696465,bd,2.27,15.360,11.907,0.010,66.225,0.602,V
2457605.97368,2016-08-05.4709873,bd,2.15,15.380,11.917,0.010,65.625,0.608,V
2457606.84428,2016-08-06.3415892,bd,2.04,15.422,11.900,0.009,66.695,0.579,V
2457606.84554,2016-08-06.3428399,bd,2.19,15.365,11.886,0.010,67.513,0.609,V
2457606.84684,2016-08-06.3441412,bd,2.09,15.406,11.900,0.010,66.675,0.593,V
2457608.90921,2016-08-08.4065034,bd,1.51,15.510,11.892,0.009,67.156,0.526,V
2457608.91049,2016-08-08.4077785,bd,1.50,15.517,11.905,0.009,66.410,0.533,V
2457608.91175,2016-08-08.4090424,bd,1.53,15.501,11.893,0.009,67.106,0.539,V
2457610.74239,2016-08-10.2396704,bd,1.85,15.358,11.892,0.010,67.180,0.617,V
2457610.74364,2016-08-10.2409222,bd,1.71,15.391,11.901,0.010,66.613,0.601,V
2457610.74489,2016-08-10.2421726,bd,1.69,15.427,11.896,0.009,66.892,0.581,V
