1183.1244608,-1.648704E-03,52570,2.4674752E+05,1.5233128E+01,6.7288135E+03,1.4713566E+00,2.5268233E+05,1.5773437E+01,0000000000000000,NULL,NULL,NULL,NULL,228.92340,8.6420645E-05,133.77299,1.0055536E-04,-6.3340172E-02,-1.0387954E-01
1183.1448948,-1.648277E-03,52571,2.4672477E+05,1.5232886E+01,6.7261367E+03,1.4707205E+00,2.5266748E+05,1.5775663E+01,0000000000000128,NULL,NULL,NULL,NULL,228.92316,8.6427070E-05,133.77312,1.0056549E-04,-6.3468613E-02,-1.0374423E-01
1183.1653288,-1.647850E-03,52572,2.4672859E+05,1.5232837E+01,6.7270493E+03,1.4713776E+00,2.5267578E+05,1.5777431E+01,0000000000000000,NULL,NULL,NULL,NULL,228.92314,8.6426313E-05,133.77307,1.0056106E-04,-6.3332655E-02,-1.0376628E-01
1183.1857629,-1.647423E-03,52573,2.4677961E+05,1.5233519E+01,6.7229229E+03,1.4714222E+00,2.5272886E+05,1.5776875E+01,0000000000000000,NULL,NULL,NULL,NULL,228.92336,8.6405387E-05,133.77362,1.0053361E-04,-6.3328795E-02,-1.0337967E-01
1183.2061969,-1.646996E-03,52574,2.4673800E+05,1.5232883E+01,6.7255063E+03,1.4713782E+00,2.5268808E+05,1.5778953E+01,0000000000000000,NULL,NULL,NULL,NULL,228.92297,8.6421001E-05,133.77312,1.0055223E-04,-6.3447520E-02,-1.0371950E-01
1183.2266311,-1.646568E-03,52575,2.4671220E+05,1.5232442E+01,6.7199062E+03,1.4713444E+00,2.5265727E+05,1.5780674E+01,0000000000000000,NULL,NULL,NULL,NULL,228.92293,8.6430206E-05,133.77372,1.0055469E-04,-6.3528441E-02,-1.0321270E-01
1183.2470650,-1.646140E-03,52576,2.4670425E+05,1.5231579E+01,6.7190024E+03,1.4703327E+00,2.5264644E+05,1.5780458E+01,0000000000000000,NULL,NULL,NULL,NULL,228.92294,8.6426466E-05,133.77363,1.0055608E-04,-6.3700058E-02,-1.0344134E-01
1183.2674990,-1.645711E-03,52577,2.4676948E+05,1.5233434E+01,6.7203682E+03,1.4708413E+00,2.5271298E+05,1.5778843E+01,0000000000000000,NULL,NULL,NULL,NULL,228.92250,8.6413202E-05,133.77387,1.0053181E-04,-6.3759416E-02,-1.0308900E-01
1183.2879331,-1.645283E-03,52578,2.4675858E+05,1.5232916E+01,6.7232842E+03,1.4709563E+00,2.5269739E+05,1.5776316E+01,0000000000000000,NULL,NULL,NULL,NULL,228.92317,8.6411739E-05,133.77437,1.0052781E-04,-6.3447073E-02,-1.0269797E-01
1183.3083671,-1.644854E-03,52579,2.4674733E+05,1.5232538E+01,6.7178198E+03,1.4709194E+00,2.5268347E+05,1.5779323E+01,0000000000000000,NULL,NULL,NULL,NULL,228.92255,8.6414904E-05,133.77412,1.0053282E-04,-6.3587308E-02,-1.0283706E-01
