Time,n_flux
126.52560,1.0000675
126.54603,0.99988715
126.56647,0.99994215
126.58690,0.99992762
126.60734,0.99977382
126.62777,0.99995643
126.64821,0.99999714
126.66864,1.0000233
126.68907,1.0000251
126.70951,1.0001063
126.72994,1.0000298
126.75038,0.99986798
126.77081,0.99998869
126.79125,1.0001796
126.81168,1.0000963
126.83212,1.0000008
126.85255,0.99999714
126.87299,1.0000556
126.89342,0.99989929
126.91385,1.0000895
126.93429,1.0001283
126.95472,1.0001643
126.97516,1.0000892
126.99559,1.0000796
127.01603,1.0001664
127.03646,1.0000639
127.05690,0.99993929
127.07733,1.0000029
127.09776,1.0000619
127.11820,1.0001488
127.13863,1.0002082
127.15907,1.0001227
127.17950,1.0001358
127.19994,1.0001782
127.22037,1.0001073
127.24081,1.0000893
127.26124,1.0001589
127.28168,1.0000824
127.30211,1.0001294
127.32254,1.0000199
127.34298,1.0000398
127.36341,0.99990846
127.38385,0.99988036
127.40428,0.99997119
127.42472,1.0001562
127.44515,1.0000348
127.46559,1.0000530
127.48602,1.0000558
127.50646,0.99991715
127.52689,1.0000677
127.54732,0.99999595
127.56776,1.0000468
127.58819,0.99995798
127.64950,0.99986620
127.66993,0.99979596
127.69037,0.99993679
127.71080,0.99993238
127.73123,0.99999405
127.75167,1.0000295
127.77210,0.99991929
127.79254,0.99991036
127.81297,0.99983298
127.83341,0.99990703
127.85384,0.99992405
127.87428,1.0000075
127.89471,1.0000764
127.91515,0.99998500
127.93558,0.99996774
127.95601,1.0000799
127.97645,1.0001254
127.99688,0.99995036
128.01732,1.0000382
128.03775,0.99993072
128.05819,0.99998238
128.07862,0.99995667
128.09906,0.99968608
128.11949,0.99994107
128.13992,0.99984120
128.16036,0.99999191
128.18079,1.0000040
128.20123,1.0001131
128.22166,0.99997988
128.24210,1.0001682
128.26253,1.0002088
128.28297,1.0002728
128.30340,1.0000957
128.32384,1.0001136
128.36470,1.0000351
128.38514,0.99984453
128.40557,0.99976739
128.42601,0.99988084
128.44644,0.99978572
128.46688,0.99988000
128.48731,0.99973977
128.50775,0.99962823
128.52818,0.99971180
128.54862,0.99994226
128.56905,0.99984786
128.58948,0.99995738
128.60992,0.99990393
128.63035,1.0000086
128.65079,1.0000139
128.67122,1.0000599
128.69166,0.99988000
128.71209,0.99998500
128.73253,0.99991357
128.75296,0.99994548
128.77339,0.99993226
128.81426,0.99985465
128.83470,0.99995786
128.85513,1.0000006
128.87557,0.99990072
128.89600,0.99997107
128.91644,0.99978739
128.93687,0.99982048
128.95731,0.99997941
128.97774,0.99987096
128.99817,0.99973822
129.01861,0.99986810
129.03904,0.99976168
129.05948,0.99999655
129.07991,0.99996845
129.10035,1.0000070
129.12078,1.0002114
129.14122,1.0001350
129.16165,1.0002234
129.18209,1.0000133
129.20252,1.0003688
129.22295,1.0001911
129.24339,0.99988512
129.26382,0.99997607
129.28426,0.99983703
129.30469,0.99997476
129.32513,0.99985822
129.34556,0.99984536
129.36600,0.99992584
129.38643,0.99997881
129.40686,0.99997286
129.42730,0.99986096
129.44773,0.99980156
129.46817,0.99998393
129.48860,1.0000308
129.50904,0.99992738
129.52947,0.99998393
129.54991,1.0000867
129.57034,1.0000296
129.59078,1.0000219
129.61121,1.0000433
129.63164,1.0001298
129.65208,0.99991334
129.67251,0.99998548
129.69295,1.0000725
129.71338,0.99999452
129.73382,1.0001267
129.75425,1.0000876
129.77469,1.0001083
129.79512,1.0002948
129.81556,1.0002880
129.83599,1.0001914
129.85642,1.0001234
129.87686,1.0001775
129.89729,1.0001815
129.91773,1.0001199
129.93816,1.0000427
129.95860,1.0001118
129.97903,1.0003611
129.99947,1.0001658
130.01990,1.0002721
130.04033,1.0002978
130.06077,1.0003720
130.08120,1.0002570
130.10164,1.0002601
130.12207,1.0001358
130.14251,1.0000264
130.16294,1.0000000
130.18338,0.99993953
130.20381,0.99984334
130.22425,0.99986096
130.24468,0.99982596
131.51162,1.0012858
131.53205,1.0013107
131.55249,1.0012989
131.57292,1.0012304
131.59336,1.0012110
131.61379,1.0012407
131.63423,1.0011222
131.65466,1.0013493
131.67510,1.0012943
131.69553,1.0013642
131.71596,1.0012657
131.73640,1.0013214
131.75683,1.0014973
131.77727,1.0013482
131.79770,1.0016089
131.81814,1.0014101
131.83857,1.0015321
131.85901,1.0013918
131.87944,1.0013989
131.89988,1.0012982
131.92031,1.0012972
131.94074,1.0014212
131.96118,1.0013582
131.98161,1.0013330
132.00205,1.0013715
132.02248,1.0012521
132.04292,1.0012158
132.06335,1.0011804
132.08379,1.0012089
132.10422,1.0011208
132.12465,1.0011895
132.14509,1.0010617
132.16552,1.0011682
132.18596,1.0011725
132.20639,1.0012485
132.22683,1.0010635
132.24726,1.0011999
132.26770,1.0010673
132.28813,1.0010293
132.30857,1.0013043
132.32900,1.0008757
132.34943,1.0011142
132.36987,1.0010421
132.39030,1.0009472
132.41074,1.0010490
132.43117,1.0010552
132.45161,1.0009918
132.47204,1.0010029
132.49248,1.0009961
132.51291,1.0010777
132.53335,1.0009665
132.55378,1.0009415
132.57421,1.0010701
132.59465,1.0010913
132.61508,1.0010565
132.63552,1.0011634
132.65595,1.0011716
132.67639,1.0011146
132.69682,1.0010378
132.71726,1.0011137
132.73769,1.0010336
132.75812,1.0010745
132.77856,1.0011375
132.79899,1.0010096
132.81943,1.0011038
132.83986,1.0011085
132.86030,1.0010804
132.88073,1.0011710
132.90117,1.0011646
132.92160,1.0011708
132.94204,1.0012378
132.96247,1.0011382
132.98290,1.0011744
133.00334,1.0010959
133.02377,1.0011426
133.04421,1.0011558
133.06464,1.0010909
133.08508,1.0010818
133.10551,1.0010464
133.12595,1.0009340
133.14638,1.0009848
133.16682,1.0010563
133.18725,1.0011457
133.20768,1.0010957
133.22812,1.0011478
133.24855,1.0010104
133.26899,1.0010163
133.28942,1.0010807
133.30986,1.0010006
133.33029,1.0010319
133.35073,1.0009818
133.37116,1.0011501
133.39159,1.0011456
133.41203,1.0008990
133.43246,1.0010646
133.45290,1.0009215
133.47333,1.0009456
133.49377,1.0010890
133.51420,1.0011492
133.53464,1.0011310
133.55507,1.0010524
133.57551,1.0009389
133.59594,1.0009986
133.61637,1.0009953
133.63681,1.0010134
133.65724,1.0010138
133.67768,1.0009811
133.69811,1.0011847
133.71855,1.0010658
133.73898,1.0010122
133.75942,1.0011273
133.77985,1.0013136
133.80029,1.0010891
133.82072,1.0010041
133.84115,1.0010332
133.86159,1.0009450
133.88202,1.0011293
133.90246,1.0010168
133.92289,1.0009831
133.94333,1.0008114
133.96376,1.0008403
133.98420,1.0006961
134.00463,1.0007148
134.02506,1.0009441
134.04550,1.0008742
134.06593,1.0008236
134.08637,1.0008474
134.10680,1.0008734
134.12724,1.0007600
134.14767,1.0008172
134.16811,1.0006521
134.18854,1.0007853
134.20898,1.0007061
134.22941,1.0006509
134.24984,1.0006170
134.27028,1.0005136
134.29071,1.0005482
134.31115,1.0005359
134.33158,1.0004867
134.35202,1.0005900
134.37245,1.0007330
134.41332,1.0006858
134.43376,1.0008013
134.45419,1.0006856
134.47462,1.0007377
134.49506,1.0007085
134.51549,1.0005507
134.53593,1.0006743
134.55636,1.0005331
134.57680,1.0005251
134.59723,1.0006971
134.61767,1.0005760
134.63810,1.0007233
134.65853,1.0006502
134.67897,1.0006507
134.69940,1.0006397
134.71984,1.0006119
134.74027,1.0005910
134.76071,1.0006024
134.78114,1.0003870
134.80158,1.0003374
134.82201,1.0002938
134.84245,1.0003719
134.86288,1.0002931
134.88331,1.0003225
134.90375,1.0001912
134.92418,1.0003290
134.94462,1.0003041
134.96505,1.0003690
134.98549,1.0003055
135.00592,1.0002824
135.02636,1.0003116
135.04679,1.0003275
135.06723,1.0002472
135.08766,1.0002612
135.10809,1.0001081
135.12853,1.0000807
135.14896,1.0000865
135.16940,0.99998119
135.18983,1.0000348
135.21027,1.0000731
135.23070,1.0001666
135.25114,1.0002798
135.27157,1.0003258
135.29200,1.0000845
135.31244,1.0000284
135.33287,0.99991862
135.35331,0.99998496
135.37374,0.99997257
135.39418,0.99996480
135.41461,0.99997886
135.43505,1.0000643
135.45548,1.0000673
135.47592,1.0002829
135.49635,1.0001398
135.51678,1.0001746
135.53722,1.0002697
135.55765,1.0002873
135.57809,1.0002511
135.59852,1.0004262
135.61896,1.0002496
135.63939,1.0001780
135.65983,0.99938220
135.68026,1.0000936
135.70070,1.0001542
135.72113,1.0001055
135.74156,1.0000639
135.76200,1.0001305
135.78243,1.0000150
135.80287,0.99992305
135.82330,0.99999142
135.84374,1.0002097
135.86417,0.99999022
135.88461,0.99999650
135.90504,1.0000264
135.92547,1.0001467
135.94591,1.0000518
135.96634,1.0000018
135.98678,0.99992107
136.00721,1.0000244
136.02765,1.0000923
136.04808,0.99997575
136.06852,1.0001743
136.08895,1.0001238
136.10939,1.0001167
136.12982,1.0000700
136.15025,1.0001033
136.17069,0.99998203
136.19112,1.0001419
136.21156,0.99998376
136.23199,1.0000707
136.25243,0.99991593
136.27286,0.99980121
136.29330,0.99996271
136.31373,1.0000518
136.33417,0.99997293
136.35460,0.99994213
136.37503,0.99998496
136.39547,1.0002177
136.41590,1.0001362
136.43634,1.0002099
136.45677,1.0001365
136.47721,1.0001088
136.49764,1.0001676
136.51808,1.0001452
136.53851,1.0002251
136.55894,1.0002099
136.57938,1.0000830
136.59981,1.0000948
136.62025,1.0000398
136.64068,0.99995834
136.66112,0.99978500
136.68155,0.99982387
136.70199,0.99988423
136.72242,0.99973607
136.74286,0.99990074
136.76329,0.99992048
136.78372,0.99974725
136.80416,0.99993190
136.82459,1.0000160
136.84503,0.99977895
136.86546,0.99975921
136.88590,0.99970849
136.90633,0.99975479
136.92677,0.99967691
136.94720,0.99994931
136.96764,0.99981580
136.98807,0.99988477
137.00850,0.99979893
137.02894,0.99988710
137.04937,0.99995924
137.06981,0.99989147
137.09024,0.99978787
137.11068,0.99986521
137.13111,0.99990684
137.15155,0.99971926
137.17198,0.99986419
137.19241,0.99999136
137.21285,0.99986425
137.23328,0.99985528
137.25372,0.99985731
137.27415,0.99981167
137.29459,0.99988710
137.31502,1.0000458
137.33546,1.0001103
137.35589,1.0000604
137.39676,1.0002084
137.41719,1.0000984
137.43763,1.0001499
137.45806,1.0000804
137.47850,1.0001691
137.49893,1.0001052
137.51937,0.99989224
137.53980,0.99973744
137.56024,0.99966208
137.58067,0.99969665
137.60111,0.99983392
137.62154,0.99976221
137.64197,0.99972775
137.66241,0.99961470
137.68284,0.99952366
137.70328,0.99949723
137.72371,0.99958479
137.74415,0.99953204
137.76458,0.99953922
137.78502,0.99964018
137.80545,0.99958222
137.82588,0.99964790
137.84632,0.99961674
137.86675,0.99960591
137.88719,0.99963019
137.90762,0.99954221
137.92806,0.99965005
137.94849,0.99954627
137.96893,0.99958282
137.98936,0.99935116
138.00980,0.99935546
138.03023,0.99924331
138.05066,0.99936294
138.07110,0.99940176
138.09153,0.99941642
138.11197,0.99947121
138.13240,0.99947324
138.15284,0.99951864
138.17327,0.99952007
138.19371,0.99958886
138.21414,0.99964042
138.23458,0.99960423
138.25501,0.99959957
138.27544,0.99953341
138.29588,0.99965227
138.31631,0.99980192
138.33675,0.99962882
138.35718,0.99964120
138.37762,0.99964108
138.39805,0.99954986
138.41849,0.99952797
138.43892,0.99947635
138.45935,0.99954992
138.47979,0.99955058
138.50022,0.99940098
138.52066,0.99930642
138.54109,0.99932849
138.56153,0.99936109
138.58196,0.99913558
138.60240,0.99921645
138.62283,0.99940218
138.64327,0.99934536
138.66370,0.99920826
138.68413,0.99900196
138.70457,0.99916226
138.72500,0.99918948
138.74544,0.99916238
138.76587,0.99914079
138.78631,0.99912452
138.80674,0.99908737
138.82718,0.99895405
138.84761,0.99873776
138.86804,0.99903551
138.88848,0.99908271
138.90891,0.99900920
138.92935,0.99887605
138.94978,0.99903599
138.97022,0.99891259
138.99065,0.99903324
139.01109,0.99908217
139.03152,0.99909850
139.05196,0.99906853
139.07239,0.99906829
139.09282,0.99914163
139.11326,0.99901081
139.13369,0.99898449
139.15413,0.99896996
