MJD,V-mag,SE,air mass
57875.36771,11.9047,0.0018,1.472
57875.36818,11.9004,0.0017,1.469
57875.36867,11.9119,0.0017,1.465
57875.36916,11.9062,0.0017,1.462
57875.36963,11.9085,0.0017,1.458
57875.37010,11.9037,0.0016,1.455
57875.37058,11.9060,0.0016,1.452
57875.37105,11.9092,0.0016,1.449
57875.37153,11.9090,0.0016,1.445
57875.37201,11.9014,0.0016,1.442
57875.37249,11.9124,0.0016,1.439
57875.37297,11.9077,0.0016,1.436
57875.37345,11.8989,0.0016,1.433
57875.37392,11.9144,0.0016,1.429
57875.37441,11.9125,0.0016,1.426
57875.37488,11.9130,0.0015,1.423
57875.37537,11.9005,0.0015,1.420
57875.37584,11.9030,0.0015,1.417
57875.37632,11.8967,0.0014,1.414
57875.37679,11.9106,0.0014,1.411
57875.37727,11.9093,0.0013,1.408
57875.37775,11.9149,0.0013,1.405
57875.37823,11.9065,0.0013,1.402
57875.37872,11.9011,0.0013,1.399
57875.37919,11.9136,0.0013,1.396
57875.37968,11.9122,0.0014,1.393
57875.38015,11.9075,0.0016,1.390
57875.38064,11.9134,0.0017,1.387
57875.38111,11.8988,0.0019,1.385
57875.38160,11.9034,0.0021,1.382
57875.38207,11.9122,0.0022,1.379
57875.38256,11.9064,0.0023,1.376
57875.38304,11.9134,0.0024,1.373
57875.38352,11.9086,0.0024,1.370
57875.38400,11.9121,0.0024,1.368
57875.38448,11.9027,0.0023,1.365
57875.38497,11.9091,0.0022,1.362
57875.38545,11.9017,0.0021,1.359
57875.38593,11.9134,0.0020,1.357
57875.38640,11.9015,0.0019,1.354
57875.38687,11.9136,0.0017,1.351
57875.38735,11.9085,0.0016,1.349
57875.38782,11.9075,0.0015,1.346
57875.38830,11.9117,0.0014,1.344
57875.38878,11.8997,0.0013,1.341
57875.38925,11.9081,0.0013,1.339
57875.38973,11.9031,0.0014,1.336
57875.39022,11.9118,0.0014,1.333
57875.39069,11.9129,0.0014,1.331
57875.39117,11.8973,0.0013,1.328
57875.39164,11.9062,0.0013,1.326
57875.39213,11.9095,0.0013,1.323
57875.39309,11.9084,0.0013,1.318
57875.39404,11.9081,0.0013,1.314
57875.39453,11.8962,0.0013,1.311
57875.39500,11.9043,0.0013,1.309
57875.39549,11.9079,0.0013,1.306
57875.39596,11.9059,0.0013,1.304
57875.39645,11.8993,0.0013,1.302
57875.39693,11.9065,0.0014,1.299
57875.39741,11.9025,0.0014,1.297
57875.39789,11.9116,0.0014,1.295
57875.39837,11.9122,0.0015,1.292
57875.39885,11.9042,0.0015,1.290
57875.39933,11.9121,0.0016,1.288
57875.39981,11.9141,0.0016,1.286
57875.40030,11.9071,0.0017,1.283
57875.40078,11.9095,0.0017,1.281
57875.40125,11.9016,0.0017,1.279
57875.40172,11.9125,0.0017,1.277
57875.40221,11.9049,0.0017,1.275
57875.40269,11.9044,0.0017,1.273
57875.40316,11.9066,0.0017,1.270
57875.40365,11.9058,0.0017,1.268
57875.40411,11.8967,0.0017,1.266
57875.40459,11.9033,0.0017,1.264
57875.40507,11.9067,0.0017,1.262
57875.40556,11.9051,0.0018,1.260
57875.40603,11.9165,0.0018,1.258
57875.40652,11.9024,0.0018,1.256
57875.40699,11.9084,0.0018,1.254
57875.40748,11.9054,0.0018,1.252
57875.40795,11.9089,0.0019,1.250
57875.40843,11.9123,0.0019,1.248
57875.40891,11.9064,0.0019,1.246
57875.40939,11.9031,0.0019,1.244
57875.40986,11.9077,0.0019,1.242
57875.41035,11.9039,0.0020,1.240
57875.41082,11.9085,0.0020,1.238
57875.41130,11.9045,0.0020,1.236
57875.41177,11.9075,0.0020,1.234
57875.41227,11.8910,0.0020,1.232
57875.41275,11.9013,0.0019,1.230
57875.41323,11.9077,0.0018,1.228
57875.41372,11.9049,0.0017,1.226
57875.41419,11.9020,0.0017,1.225
57875.41468,11.9056,0.0016,1.223
57875.41515,11.9035,0.0015,1.221
57875.41562,11.9032,0.0016,1.219
57875.41611,11.9039,0.0017,1.217
57875.41659,11.9061,0.0019,1.215
57875.41707,11.9025,0.0021,1.214
57875.41755,11.9100,0.0024,1.212
57875.41803,11.9103,0.0025,1.210
57875.41851,11.9031,0.0026,1.208
57875.41899,11.9053,0.0026,1.207
57875.41948,11.9040,0.0036,1.205
57876.25389,11.9250,0.0053,3.710
57876.25436,11.9165,0.0053,3.686
57876.25484,11.9340,0.0053,3.662
57876.25532,11.8996,0.0045,3.637
57876.25581,11.9216,0.0048,3.613
57876.25628,11.8922,0.0050,3.589
57876.25677,11.9073,0.0051,3.566
57876.25725,11.8995,0.0052,3.543
57876.25773,11.9210,0.0052,3.520
57876.25821,11.9167,0.0051,3.498
57876.25868,11.9134,0.0050,3.476
57876.25916,11.8950,0.0049,3.454
57876.25964,11.9015,0.0050,3.432
57876.26012,11.8992,0.0052,3.411
57876.26060,11.8716,0.0054,3.390
57876.26108,11.8978,0.0056,3.369
57876.26155,11.9082,0.0058,3.349
57876.26204,11.9046,0.0059,3.328
57876.26251,11.8887,0.0060,3.308
57876.26299,11.9303,0.0060,3.288
57876.26346,11.9110,0.0059,3.269
57876.26394,11.8987,0.0058,3.250
57876.26442,11.9009,0.0056,3.230
57876.26490,11.9058,0.0053,3.211
57876.26537,11.9016,0.0049,3.193
57876.26584,11.9010,0.0046,3.174
57876.26633,11.8999,0.0042,3.156
57876.26681,11.9085,0.0039,3.138
57876.26728,11.9245,0.0036,3.120
57876.26777,11.8861,0.0034,3.102
57876.26824,11.9222,0.0033,3.085
57876.26872,11.9204,0.0032,3.067
57876.26920,11.9004,0.0033,3.050
57876.26968,11.9100,0.0034,3.033
57876.27015,11.8960,0.0034,3.016
57876.27064,11.9092,0.0035,3.000
57876.27111,11.9098,0.0036,2.983
